"Index","Carrier","Year","Service category","Request","Code type","Code","Description of service","Number of requests per code","Approval rate","Initially denied then approved - approval rate","Expedited - Avg response time","Standard - Avg response time","Extenuating circumstances - Avg response time","Expedited - Number of requests","Standard - Number of requests","Extenuating circumstances - Number of requests","Drug name","Drug brand names"
"3430","Carrier M","2022","Prescription Drugs","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","GPI10","NA","NA","2","0%","100%","52.62","2.72",,"1","1",,"TESTOSTERONE","NA"
"3431","Carrier M","2022","Prescription Drugs","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","GPI10","NA","NA","2","0%","100%","13.85",,,"2","0",,"WEGOVY","NA"
"3432","Carrier M","2022","Prescription Drugs","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","GPI10","NA","NA","2","0%","100%","0.54",,,"2","0",,"ARMODAFINIL","NA"
"3433","Carrier M","2022","Prescription Drugs","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","GPI10","NA","NA","2","0%","100%","5.08","5.18",,"1","1",,"GRALISE","NA"
"3434","Carrier M","2022","Prescription Drugs","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","GPI10","NA","NA","2","0%","100%",,"35.61",,"0","2",,"SIMPONI","NA"
"3435","Carrier M","2022","Prescription Drugs","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","GPI10","NA","NA","2","0%","100%","0.26","19.75",,"1","1",,"COSENTYX","NA"
"3436","Carrier F","2022","Inpatient Med-Surg","Codes with the highest total number of prior authorization requests during the previous plan year","Revenue","121","Accommodation Codes - Room & Board Semiprivate (Two Beds)-Medical/Surgical/GYN","140","70%",,"19","53",,"31","109",,"NA","NA"
"3437","Carrier F","2022","Inpatient Med-Surg","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","22853","Insertion of interbody biomechanical device(s) (eg, synthetic cage, mesh) with integral anterior instrumentation for device anchoring (eg, screws, flanges), when performed, to intervertebral disc space in conjunction with interbody arthrodesis, each interspace (List separately in addition to code for primary procedure)","17","94.12%",,"26","70",,"2","15",,"NA","NA"
"3438","Carrier F","2022","Inpatient Med-Surg","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","20936","Autograft for spine surgery only (includes harvesting the graft); local (eg, ribs, spinous process, or laminar fragments) obtained from same incision (List separately in addition to code for primary procedure)","14","92.86%",,"16","71",,"2","12",,"NA","NA"
"3439","Carrier F","2022","Inpatient Med-Surg","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","20930","Allograft, morselized, or placement of osteopromotive material, for spine surgery only (List separately in addition to code for primary procedure)","11","100%",,"26","65",,"2","9",,"NA","NA"
"3440","Carrier F","2022","Inpatient Med-Surg","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","22840","Posterior non-segmental instrumentation (eg, Harrington rod technique, pedicle fixation across 1 interspace, atlantoaxial transarticular screw fixation, sublaminar wiring at C1, facet screw fixation) (List separately in addition to code for primary procedure)","11","90.91%",,"29","69",,"1","10",,"NA","NA"
"3441","Carrier F","2022","Inpatient Med-Surg","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","58150","Total abdominal hysterectomy (corpus and cervix), with or without removal of tube(s), with or without removal of ovary(s);","9","100%",,"17","57",,"3","6",,"NA","NA"
"3442","Carrier F","2022","Inpatient Med-Surg","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","63048","Laminectomy, facetectomy and foraminotomy (unilateral or bilateral with decompression of spinal cord, cauda equina and/or nerve root[s], [eg, spinal or lateral recess stenosis]), single vertebral segment; each additional vertebral segment, cervical, thoracic, or lumbar (List separately in addition to code for primary procedure)","9","77.78%",,"19","73",,"3","6",,"NA","NA"
"3443","Carrier F","2022","Inpatient Med-Surg","Codes with the highest total number of prior authorization requests during the previous plan year","Revenue","760","Ancillary Services - Specialty Services-General Classification","7","85.71%",,"1","26",,"1","6",,"NA","NA"
"3444","Carrier F","2022","Inpatient Med-Surg","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","22612","Arthrodesis, posterior or posterolateral technique, single interspace; lumbar (with lateral transverse technique, when performed)","6","83.33%",,,"67",,"0","6",,"NA","NA"
"3445","Carrier F","2022","Inpatient Med-Surg","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","22614","Arthrodesis, posterior or posterolateral technique, single interspace; each additional interspace (List separately in addition to code for primary procedure)","6","100%",,"17","52",,"2","4",,"NA","NA"
"3446","Carrier F","2022","Inpatient Med-Surg","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","20930","Allograft, morselized, or placement of osteopromotive material, for spine surgery only (List separately in addition to code for primary procedure)","11","100%",,"26","65",,"2","9",,"NA","NA"
"3447","Carrier F","2022","Inpatient Med-Surg","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","58150","Total abdominal hysterectomy (corpus and cervix), with or without removal of tube(s), with or without removal of ovary(s);","9","100%",,"17","57",,"3","6",,"NA","NA"
"3448","Carrier F","2022","Inpatient Med-Surg","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","22614","Arthrodesis, posterior or posterolateral technique, single interspace; each additional interspace (List separately in addition to code for primary procedure)","6","100%",,"17","52",,"2","4",,"NA","NA"
"3449","Carrier F","2022","Inpatient Med-Surg","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","44207","Laparoscopy, surgical; colectomy, partial, with anastomosis, with coloproctostomy (low pelvic anastomosis)","6","100%",,,"32",,"0","6",,"NA","NA"
"3450","Carrier F","2022","Inpatient Med-Surg","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","55866","Laparoscopy, surgical prostatectomy, retropubic radical, including nerve sparing, includes robotic assistance, when performed","6","100%",,"14","31",,"1","5",,"NA","NA"
"3451","Carrier F","2022","Inpatient Med-Surg","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","19364","Breast reconstruction; with free flap (eg, fTRAM, DIEP, SIEA, GAP flap)","5","100%",,,"80",,"0","5",,"NA","NA"
"3452","Carrier F","2022","Inpatient Med-Surg","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","22558","Arthrodesis, anterior interbody technique, including minimal discectomy to prepare interspace (other than for decompression); lumbar","5","100%",,,"57",,"0","5",,"NA","NA"
"3453","Carrier F","2022","Inpatient Med-Surg","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","69990","Microsurgical techniques, requiring use of operating microscope (List separately in addition to code for primary procedure)","5","100%",,"13","41",,"2","3",,"NA","NA"
"3454","Carrier F","2022","Inpatient Med-Surg","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","22600","Arthrodesis, posterior or posterolateral technique, single interspace; cervical below C2 segment","4","100%",,"17","45",,"2","2",,"NA","NA"
"3455","Carrier F","2022","Inpatient Med-Surg","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","38770","Pelvic lymphadenectomy, including external iliac, hypogastric, and obturator nodes (separate procedure)","4","100%",,"14","49",,"1","3",,"NA","NA"
"3456","Carrier F","2022","Inpatient Med-Surg","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","Revenue","121","Accommodation Codes - Room & Board Semiprivate (Two Beds)-Medical/Surgical/GYN","140","0%","0.71%","19","53",,"31","109",,"NA","NA"
"3457","Carrier F","2022","Outpatient Med-Surg","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","43239","Esophagogastroduodenoscopy, flexible, transoral; with biopsy, single or multiple","505","92.67%",,"14","48",,"72","433",,"NA","NA"
"3458","Carrier F","2022","Outpatient Med-Surg","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","43235","Esophagogastroduodenoscopy, flexible, transoral; diagnostic, including collection of specimen(s) by brushing or washing, when performed (separate procedure)","431","91.88%",,"16","49",,"69","362",,"NA","NA"
"3459","Carrier F","2022","Outpatient Med-Surg","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","66984","Extracapsular cataract removal with insertion of intraocular lens prosthesis (1 stage procedure), manual or mechanical technique (eg, irrigation and aspiration or phacoemulsification); without endoscopic cyclophotocoagulation","132","93.94%",,"21","61",,"11","121",,"NA","NA"
"3460","Carrier F","2022","Outpatient Med-Surg","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","64483","Injection(s), anesthetic agent(s) and/or steroid; transforaminal epidural, with imaging guidance (fluoroscopy or CT), lumbar or sacral, single level","131","93.89%",,"16","46",,"14","117",,"NA","NA"
"3461","Carrier F","2022","Outpatient Med-Surg","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","45378","Colonoscopy, flexible; diagnostic, including collection of specimen(s) by brushing or washing, when performed (separate procedure)","116","66.38%",,"13","40",,"8","108",,"NA","NA"
"3462","Carrier F","2022","Outpatient Med-Surg","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","45380","Colonoscopy, flexible; with biopsy, single or multiple","104","69.23%",,"17","36",,"7","97",,"NA","NA"
"3463","Carrier F","2022","Outpatient Med-Surg","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","99214","Office or other outpatient visit for the evaluation and management of an established patient, which requires a medically appropriate history and/or examination and moderate level of medical decision making. When using time for code selection, 30-39 minutes of total time is spent on the date of the encounter.","102","36.27%",,"29","76",,"31","71",,"NA","NA"
"3464","Carrier F","2022","Outpatient Med-Surg","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","92250","Fundus photography with interpretation and report","91","96.7%",,"10","70",,"20","71",,"NA","NA"
"3465","Carrier F","2022","Outpatient Med-Surg","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","27130","Arthroplasty, acetabular and proximal femoral prosthetic replacement (total hip arthroplasty), with or without autograft or allograft","91","87.91%",,"32","73",,"7","84",,"NA","NA"
"3466","Carrier F","2022","Outpatient Med-Surg","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","27447","Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)","83","91.57%",,"22","67",,"3","80",,"NA","NA"
"3467","Carrier F","2022","Outpatient Med-Surg","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","27096","Injection procedure for sacroiliac joint, anesthetic/steroid, with image guidance (fluoroscopy or CT) including arthrography when performed","50","100%",,"18","37",,"5","45",,"NA","NA"
"3468","Carrier F","2022","Outpatient Med-Surg","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","29877","Arthroscopy, knee, surgical; debridement/shaving of articular cartilage (chondroplasty)","14","100%",,"14","80",,"2","12",,"NA","NA"
"3469","Carrier F","2022","Outpatient Med-Surg","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","31276","Nasal/sinus endoscopy, surgical, with frontal sinus exploration, including removal of tissue from frontal sinus, when performed","13","100%",,"15","65",,"3","10",,"NA","NA"
"3470","Carrier F","2022","Outpatient Med-Surg","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","77067","Screening mammography, bilateral (2-view study of each breast), including computer-aided detection (CAD) when performed","12","100%",,,"81",,"0","12",,"NA","NA"
"3471","Carrier F","2022","Outpatient Med-Surg","Codes with the highest percentage of approved prior authorization requests during the previous plan year","HCPC","G0260","Injection procedure for sacroiliac joint; provision of anesthetic, steroid and/or other therapeutic agent, with or without arthrography","10","100%",,,"89",,"0","10",,"NA","NA"
"3472","Carrier F","2022","Outpatient Med-Surg","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","29824","Arthroscopy, shoulder, surgical; distal claviculectomy including distal articular surface (Mumford procedure)","9","100%",,,"59",,"0","9",,"NA","NA"
"3473","Carrier F","2022","Outpatient Med-Surg","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","20930","Allograft, morselized, or placement of osteopromotive material, for spine surgery only (List separately in addition to code for primary procedure)","8","100%",,"24","98",,"1","7",,"NA","NA"
"3474","Carrier F","2022","Outpatient Med-Surg","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","31287","Nasal/sinus endoscopy, surgical, with sphenoidotomy;","7","100%",,,"59",,"0","7",,"NA","NA"
"3475","Carrier F","2022","Outpatient Med-Surg","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","43242","Esophagogastroduodenoscopy, flexible, transoral; with transendoscopic ultrasound-guided intramural or transmural fine needle aspiration/biopsy(s) (includes endoscopic ultrasound examination of the esophagus, stomach, and either the duodenum or a surgically altered stomach where the jejunum is examined distal to the anastomosis)","7","100%",,"25","75",,"2","5",,"NA","NA"
